Year,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,總計,月平均,正績效,負績效,大於 5%,大於 3%
2025,4.26,-4.37,-10.26,-2.40,6.61,7.62,7.35,1.84,10.10,12.02,-,-,20.59,3.28,7,3,5,6
2024,1.50,6.66,10.19,0.22,4.90,12.32,-2.51,0.28,1.43,4.27,-2.37,4.54,48.64,3.45,10,2,3,6
2023,9.71,0.42,2.36,-3.45,7.45,2.34,1.22,-2.41,-2.43,-1.22,8.42,3.12,27.45,2.13,8,4,3,4
2022,-0.58,-2.15,-0.29,-6.77,0.82,-10.79,3.51,-0.34,-12.03,-4.25,17.47,-5.29,-21.37,-1.72,3,9,1,2
2021,7.15,4.06,1.01,4.34,-2.49,1.35,-1.84,3.16,-2.35,-0.91,1.62,5.43,21.92,1.71,8,4,2,5
2020,-4.21,-1.45,-14.10,12.28,-1.23,6.45,16.30,-1.93,1.18,0.00,10.00,7.90,31.14,2.60,6,5,5,5
2019,1.53,4.44,1.93,4.61,-5.25,3.12,3.22,-1.15,3.36,6.50,1.55,5.96,33.52,2.49,10,2,2,7
2018,5.70,-2.72,0.73,-3.56,0.94,0.87,5.91,1.64,-0.06,-10.76,-1.03,-1.63,-4.94,-0.33,6,6,2,2
2017,2.09,2.16,0.75,1.15,2.62,5.10,2.05,1.97,-2.11,4.93,-3.46,-0.12,18.14,1.43,9,3,1,2
2016,-1.98,2.85,5.55,-4.72,2.52,3.64,6.03,1.24,2.23,2.33,-1.24,0.14,19.65,1.55,9,3,2,3
2015,1.72,3.38,-1.78,3.48,-0.49,-2.39,-4.68,-5.82,0.16,4.45,-3.16,-0.74,-6.28,-0.49,5,7,0,3
2014,-1.87,1.22,3.09,1.50,3.44,4.52,1.21,3.67,-5.64,2.44,3.37,-0.96,16.66,1.33,9,3,0,5
2013,1.49,1.10,-0.18,2.36,0.98,-3.25,2.72,-1.33,2.33,3.70,-0.60,2.00,11.68,0.94,8,4,0,1
2012,4.30,7.80,-1.96,-5.19,-3.65,0.10,1.79,3.23,4.55,-5.30,6.25,0.47,11.92,1.03,8,4,2,5
2011,2.61,-5.56,0.08,4.11,0.00,-5.08,1.78,-8.93,-5.32,4.88,-7.89,3.60,-15.81,-1.31,6,5,0,3
2010,-6.11,-2.74,5.24,1.01,-8.58,-1.10,8.78,-1.11,8.26,0.94,1.96,7.53,13.13,1.17,7,5,4,4
2009,-7.21,8.36,10.86,15.04,13.88,-7.37,10.26,-1.16,10.01,-1.26,2.03,7.12,75.00,5.05,8,4,7,7
2008,-10.58,10.74,-0.66,5.71,-2.66,-11.58,-4.73,2.39,-16.87,-13.18,-12.07,2.30,-43.32,-4.27,4,8,2,2
2007,-1.82,1.85,-2.25,0.80,5.01,8.79,2.00,-1.06,5.72,4.94,-11.97,-0.57,10.31,0.95,7,5,3,4
2006,0.20,2.04,0.76,7.58,-5.99,-0.56,-3.20,5.54,3.87,1.86,5.43,2.58,21.12,1.68,9,3,3,4
2005,-2.91,3.27,-3.87,-2.07,3.51,4.35,1.43,-3.05,1.61,-4.24,7.37,5.04,10.03,0.87,7,5,2,5
2004,5.66,4.18,-3.09,-3.04,-4.53,-1.32,-6.35,7.73,1.00,-1.93,1.74,6.59,5.62,0.55,6,6,3,4
2003,0.00,0.00,0.00,0.00,0.00,0.00,10.22,9.91,-0.49,7.38,-6.25,2.04,23.84,1.90,4,2,3,3