,,,,公司 (每月),,,,,,,個人生活支出,,,現金流,
,,,月份,累計本金,定期定額,單筆,損益率,損益,淨利,累積損益率,支出,餘額,累計餘額,庫存,庫存+餘額
,,,2021/1/1,100,0,0,7.15%,107.15,107.15,7.15%,3.5,-3.5,-3.5,0.00,-3.50
,,,2021/2/1,100,0,0,4.06%,111.50,111.50,11.50%,4.3,-4.3,-7.8,0.00,-4.30
初始本金,100,,2021/3/1,100,0,0,1.01%,112.63,112.63,12.63%,3.2,-3.2,-11,0.00,-3.20
庫存資金,0,,2021/4/1,100,0,0,4.34%,117.51,117.51,17.51%,4.1,-4.1,-15.1,0.00,-4.10
總本金,100,,2021/5/1,100,0,0,-2.49%,114.59,114.59,14.59%,6.3,-6.3,-21.4,0.00,-6.30
每月生活預算,0,,2021/6/1,100,0,0,1.35%,116.14,116.14,16.14%,3.2,-3.2,-24.6,0.00,-3.20
每月定期定額,0,,2021/7/1,100,0,0,-1.84%,114.00,114.00,14.00%,3.4,-3.4,-28,0.00,-3.40
0050 績效,https://havocfuture.tw/zh-hans/0050-performance,,2021/8/1,100,0,0,3.16%,117.60,117.60,17.60%,4.2,-4.2,-32.2,0.00,-4.20
,https://tw.stock.yahoo.com/quote/0050.TW/performance,,2021/9/1,100,0,0,-2.35%,114.84,114.84,14.84%,5.9,-5.9,-38.1,0.00,-5.90
,,,2021/10/1,100,0,0,-0.91%,113.79,113.79,13.79%,3.2,-3.2,-41.3,0.00,-3.20
,,,2021/11/1,100,0,0,1.62%,115.64,115.64,15.64%,3.4,-3.4,-44.7,0.00,-3.40
,,,2021/12/1,100,0,0,5.43%,121.91,121.91,21.91%,10.3,-10.3,-55,0.00,-10.30
,,,2022/1/1,100,0,0,-0.58%,121.21,121.21,21.21%,6.3,-6.3,-61.3,0.00,-6.30
,,,2022/2/1,100,0,0,-2.15%,118.60,118.60,18.60%,3.2,-3.2,-64.5,0.00,-3.20
,,,2022/3/1,100,0,0,-0.29%,118.26,118.26,18.26%,3.4,-3.4,-67.9,0.00,-3.40
,,,2022/4/1,100,0,0,-6.77%,110.25,110.25,10.25%,4.2,-4.2,-72.1,0.00,-4.20
,,,2022/5/1,100,0,0,0.82%,111.16,111.16,11.16%,5.9,-5.9,-78,0.00,-5.90
,,,2022/6/1,100,0,0,-10.79%,99.16,99.16,-0.84%,3.2,-3.2,-81.2,0.00,-3.20
,,,2022/7/1,100,0,0,3.51%,102.64,102.64,2.64%,3.4,-3.4,-84.6,0.00,-3.40
,,,2022/8/1,100,0,0,-0.34%,102.29,102.29,2.29%,4.1,-4.1,-88.7,0.00,-4.10
,,,2022/9/1,100,0,0,-12.03%,89.99,89.99,-10.01%,6.3,-6.3,-95,0.00,-6.30
,,,2022/10/1,100,0,0,-4.25%,86.16,86.16,-13.84%,3.2,-3.2,-98.2,0.00,-3.20
,,,2022/11/1,100,0,0,17.47%,101.22,101.22,1.22%,3.4,-3.4,-101.6,0.00,-3.40
,,,2022/12/1,100,0,0,-5.29%,95.86,95.86,-4.14%,4.2,-4.2,-105.8,0.00,-4.20
,,,2023/1/1,100,0,0,9.71%,105.17,105.17,5.17%,5.9,-5.9,-111.7,0.00,-5.90
,,,2023/2/1,100,0,0,0.42%,105.61,105.61,5.61%,3.2,-3.2,-114.9,0.00,-3.20
,,,2023/3/1,100,0,0,2.36%,108.10,108.10,8.10%,3.4,-3.4,-118.3,0.00,-3.40
,,,2023/4/1,100,0,0,-3.45%,104.37,104.37,4.37%,10.3,-10.3,-128.6,0.00,-10.30
,,,2023/5/1,100,0,0,7.45%,112.15,112.15,12.15%,6.3,-6.3,-134.9,0.00,-6.30
,,,2023/6/1,100,0,0,2.34%,114.77,114.77,14.77%,3.2,-3.2,-138.1,0.00,-3.20
,,,2023/7/1,100,0,0,1.22%,116.17,116.17,16.17%,3.4,-3.4,-141.5,0.00,-3.40
,,,2023/8/1,100,0,0,-2.41%,113.37,113.37,13.37%,4.2,-4.2,-145.7,0.00,-4.20
,,,2023/9/1,100,0,0,-2.43%,110.62,110.62,10.62%,5.9,-5.9,-151.6,0.00,-5.90
,,,2023/10/1,100,0,0,-1.22%,109.27,109.27,9.27%,3.2,-3.2,-154.8,0.00,-3.20
,,,2023/11/1,100,0,0,8.42%,118.47,118.47,18.47%,3.4,-3.4,-158.2,0.00,-3.40
,,,2023/12/1,100,0,0,3.12%,122.17,122.17,22.17%,10.3,-10.3,-168.5,0.00,-10.30
,,,2024/1/1,100,0,0,1.50%,124.00,124.00,24.00%,6.3,-6.3,-174.8,0.00,-6.30
,,,2024/2/1,100,0,0,6.66%,132.26,132.26,32.26%,3.2,-3.2,-178,0.00,-3.20
,,,2024/3/1,100,0,0,10.19%,145.74,145.74,45.74%,10.3,-10.3,-188.3,0.00,-10.30
,,,2024/4/1,100,0,0,0.22%,146.06,146.06,46.06%,6.3,-6.3,-194.6,0.00,-6.30
,,,2024/5/1,100,0,0,4.90%,153.21,153.21,53.21%,3.2,-3.2,-197.8,0.00,-3.20
,,,2024/6/1,100,0,0,12.32%,172.09,172.09,72.09%,3.4,-3.4,-201.2,0.00,-3.40
,,,2024/7/1,100,0,0,-2.51%,167.77,167.77,67.77%,4.2,-4.2,-205.4,0.00,-4.20
,,,2024/8/1,100,0,0,0.28%,168.24,168.24,68.24%,5.9,-5.9,-211.3,0.00,-5.90
,,,2024/9/1,100,0,0,1.43%,170.64,170.64,70.64%,3.2,-3.2,-214.5,0.00,-3.20
,,,2024/10/1,100,0,0,4.27%,177.93,177.93,77.93%,3.4,-3.4,-217.9,0.00,-3.40
,,,2024/11/1,100,0,0,-2.37%,173.71,173.71,73.71%,10.3,-10.3,-228.2,0.00,-10.30
,,,2024/12/1,100,0,0,4.54%,181.60,181.60,81.60%,10.3,-10.3,-238.5,0.00,-10.30
,,,2025/1/1,100,0,0,4.26%,189.34,189.34,89.34%,6.3,-6.3,-244.8,0.00,-6.30
,,,2025/2/1,100,0,0,-4.37%,181.06,181.06,81.06%,3.2,-3.2,-248,0.00,-3.20
,,,2025/3/1,100,0,0,-10.26%,162.49,162.49,62.49%,3.4,-3.4,-251.4,0.00,-3.40
,,,2025/4/1,100,0,0,-2.40%,158.59,158.59,58.59%,4.2,-4.2,-255.6,0.00,-4.20
,,,2025/5/1,100,0,0,6.61%,169.07,169.07,69.07%,5.9,-5.9,-261.5,0.00,-5.90
,,,2025/6/1,100,0,0,7.62%,181.95,181.95,81.95%,3.2,-3.2,-264.7,0.00,-3.20
,,,2025/7/1,100,0,0,7.35%,195.32,195.32,95.32%,3.4,-3.4,-268.1,0.00,-3.40
,,,2025/8/1,100,0,0,1.84%,198.92,198.92,98.92%,10.3,-10.3,-278.4,0.00,-10.30
,,,2025/9/1,100,0,0,10.10%,219.01,219.01,119.01%,5.9,-5.9,-284.3,0.00,-5.90
,,,2025/10/1,100,0,0,0.00%,219.01,219.01,119.01%,3.2,-3.2,-287.5,0.00,-3.20
,,,2025/11/1,100,0,0,0.00%,219.01,219.01,119.01%,3.4,-3.4,-290.9,0.00,-3.40
,,,2025/12/1,100,0,0,0.00%,219.01,219.01,119.01%,10.3,-10.3,-301.2,0.00,-10.30